pair_id,formal_id,formal_text,informal_id,informal_text,semantic_similarity,confidence,notes
1,co3hd28301,नव वर्ष आपको शुभ और मंगलमय हो आशा,co3hd37228,नव वर्ष शुभ और मंगलमय हो |आशा,0.903,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
2,co3hd16437,सुंदर रचना के लिये आपको बधाई,co3hd34522,सुंदर रचना के लिये बधाई,0.902,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
3,co3hd28188,आपको होली की हार्दिक शुभकामनायें,co3hd26580,होली की हार्दिक शुभकामनायें !,0.892,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
4,co3hd16316,आपको होली की बहुत बहुत शुभकामनाएँ!,co3hd28203,होली की बहुत बहुत शुभकामनाएं,0.879,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
5,co3hd5187,आपको भी मित्रता दिवस की हार्दिक शुभकामनायें।,co3hd35199,मित्रता दिवस की हार्दिक शुभकामनाये,0.872,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
6,co3hd2674,आपको बहुत बहुत बधाई।,co3hd40398,बहुत बहुत बधाई।,0.857,high,Type: pronoun_change. Patterns: आपको (addressee added in formal)
7,co3hd39495,आपको भी होली की शुभकामनाएं!,co3hd39494,होली की शुभकामनाएं!,0.84,medium,Type: pronoun_change. Patterns: आपको (addressee added in formal)
8,co3hd43671,आपको भी दीपावली की हार्दिक शुभकामनाएँ!,co3hd3924,दीपावली की हार्दिक शुभकामनाएं,0.836,medium,Type: pronoun_change. Patterns: आपको (addressee added in formal)
9,co3hd9389,आपको सपरिवार होली की हार्दिक शुभकामनाएं,co3hd37318,स:परिवार होली की हार्दिक शुभकानाएं.......,0.833,medium,Type: pronoun_change. Patterns: आपको (addressee added in formal)
10,co3hd32697,आपको भी स्वतंत्रता दिवस की हार्दिक शुभकामनाएँ!जय हिंद!,co3hd21068,स्वतंत्रता दिवस की हार्दिक शुभकामनाएँ!!!,0.83,medium,Type: pronoun_change. Patterns: आपको (addressee added in formal)
11,co3hd16905,आप सब को गणतंत्र दिवस की हार्दिक शुभ कामनाएं.,co3hd42495,गणतंत्र दिवस की हार्दिक शुभकामनाएं,0.829,medium,Type: pronoun_change. Patterns: आप/आपको (addressee added in formal)
12,co3hd25278,आप सभी को होली की हार्दिक बधाई और शुभकामनाएं,co3hd20692,होली की हार्दिक बधाई और शुभकामनाएँ,0.824,medium,Type: pronoun_change. Patterns: आप/आपको (addressee added in formal); आप सभी को (addressee added in formal)
13,co3hd30678,आप्को भी नववर्ष की हार्दिक शुभकामनायें,co3hd19514,नव वर्ष की हार्दिक शुभकामनायें,0.817,medium,Type: pronoun_change. Patterns: आप/आपको (addressee added in formal)
14,co3hd4359,सही कहा आप ने..हिंदी दिवस की बहुत बहुत शुभकामनायें ...,co3hd4362,हिंदी दिवस की बहुत बहुत शुभकामनायें ...,0.812,medium,Type: pronoun_change. Patterns: आप/आपको (addressee added in formal)
15,co3hd22140,बहुत सुंदर रचना है जी आप की .धन्यवाद,co3hd20537,बहुत सुंदर रचना जी धन्यवाद,0.8,medium,Type: pronoun_change. Patterns: आप/आपको (addressee added in formal)
